materiale,CO2_kg
Alluminio,8.6
Acciaio,1.85
Rame,4.0
Ferro,2.2
Titanio,10.0
Zinco,3.5
Piombo,1.6
Magnesio,15.0
Nichel,9.0
Policarbonato (PC),5.2
Polietilene (PE),2.0
Polipropilene (PP),1.8
Polistirene (PS),3.2
Polietilene tereftalato (PET),4.0
Cloruro di polivinile (PVC),2.4
Acrilonitrile butadiene stirene (ABS),4.2
Nylon,5.4
Polimetilmetacrilato (PMMA),6.0
Fibra di carbonio,20.0
Fibra di vetro,10.0
Kevlar,8.0
Gomma sintetica,3.5
Elastomeri termoplastici (TPE),4.5
Legno massello,0.4
MDF,1.0
Truciolato,1.2
Compensato,0.9
Sughero,0.3
Carta,1.1
Carta riciclata,0.9
Cartone,1.3
Cotone,2.5
Lana,5.0
Seta,7.0
Lino,3.0
Canapa,2.2
Poliestere,6.0
Rayon,4.5
Lyocell,4.2
Viscosa,4.0
Elastan (Spandex),8.0
Calcestruzzo,0.15
Cemento,0.9
Gesso,0.2
Ceramica,2.0
Argilla,1.8
Mattoni,0.6
Pietra naturale,0.3
Marmo,1.2
Granito,1.5
Vetro,1.2
Vetro temperato,1.5
Vetro borosilicato,1.8
Vetro laminato,2.0
Fibra di vetro,10.0
Grafene,30.0
Silicio,1.4
Zolfo,2.1
Litio,8.5
Neodimio,50.0
Cobalto,30.0
Tantalio,40.0
